2023,Red Bull,Austrian,860.00,21
2022,Red Bull,Austrian,759.00,17
2021,Mercedes,German,613.50,9
2020,Mercedes,German,573.00,13
2019,Mercedes,German,739.00,15
2018,Mercedes,German,655.00,11
2017,Mercedes,German,668.00,12
2016,Mercedes,German,765.00,19
2015,Mercedes,German,703.00,16
2014,Mercedes,German,701.00,16
2013,Red Bull,Austrian,596.00,13
2012,Red Bull,Austrian,460.00,7
2011,Red Bull,Austrian,650.00,12
2010,Red Bull,Austrian,498.00,9
2009,Brawn,British,172.00,8
2008,Ferrari,Italian,172.00,8
2007,Ferrari,Italian,204.00,9
2006,Renault,French,206.00,8
2005,Renault,French,191.00,8
2004,Ferrari,Italian,262.00,15
2003,Ferrari,Italian,158.00,8
2002,Ferrari,Italian,221.00,15
2001,Ferrari,Italian,179.00,9
2000,Ferrari,Italian,170.00,10
1999,Ferrari,Italian,128.00,6
1998,McLaren,British,156.00,9
1997,Williams,British,123.00,8
1996,Williams,British,175.00,12
1995,Benetton,Italian,147.00,11
1994,Williams,British,118.00,7
1993,Williams,British,168.00,10
1992,Williams,British,164.00,10
1991,McLaren,British,139.00,8
1990,McLaren,British,121.00,6
1989,McLaren,British,141.00,10
1988,McLaren,British,199.00,15
1987,Williams,British,137.00,9
1986,Williams,British,141.00,9
1985,McLaren,British,90.00,6
1984,McLaren,British,143.50,12
1983,Ferrari,Italian,89.00,4
1982,Ferrari,Italian,74.00,3
1981,Williams,British,95.00,4
1980,Williams,British,120.00,6
1979,Ferrari,Italian,113.00,6
1978,Team Lotus,British,86.00,8
1977,Ferrari,Italian,95.00,4
1976,Ferrari,Italian,83.00,6
1975,Ferrari,Italian,72.50,6
1974,McLaren,British,73.00,4
1973,Team Lotus,British,92.00,7
1972,Team Lotus,British,61.00,5
1971,Tyrrell,British,73.00,7
1970,Team Lotus,British,59.00,6
1969,Matra-Ford,French,66.00,6
1968,Lotus-Ford,British,62.00,5
1967,Brabham-Repco,British,63.00,4
1966,Brabham-Repco,British,42.00,4
1965,Lotus-Climax,British,54.00,6
1964,Ferrari,Italian,45.00,3
1963,Lotus-Climax,British,54.00,7
1962,BRM,British,42.00,4
1961,Ferrari,Italian,45.00,5
1960,Cooper-Climax,British,48.00,6
1959,Cooper-Climax,British,40.00,5
1958,Vanwall,British,48.00,6
